N,n,MI
8,5,0.2807685141441158
21,5,0.33059440691745035
11,4,0.3422591699019524
16,8,0.5056024576781262
35,11,0.23924654485923738
12,16,2.9857984530601605
45,7,0.23516956237506328
4,3,1.3633866372258698
25,6,0.08335588202964274
40,4,0.0838798734649022
36,1,0.009081038139721305
38,7,0.2057360187515931
30,17,0.30687961500068894
9,8,1.168816505727234
44,9,0.22447353640624967
34,19,0.8674111005942171
39,15,0.3958417366005227
42,11,0.18626230645814698
49,2,0.0057279124196947875
34,5,0.08772283622449531
44,8,0.12176244906622284
47,1,0.02400642974931124
19,18,1.1712448835639715
47,6,0.12188647761916192
45,9,0.36479027181535795
46,4,0.2863995924912138
38,10,0.31918862341166504
19,4,0.09950928842782251
27,10,0.35211743790688654
4,9,3.4174606623885024
48,6,0.08962029326483645
11,14,1.6464848781341024
36,11,0.41271621843848294
47,13,0.27965446292120255
41,8,0.0892048136625032
22,7,0.30390546910670846
2,1,1.446408737923743
13,13,1.966143470939548
34,12,0.23332082930521203
21,3,0.22924702463056107
32,4,0.08228345338436036
32,13,0.12238314079689247
42,5,0.07323393589732863
20,7,0.48945024511072704
16,4,0.0994168759308707
41,7,0.3035295191736003
18,6,0.34668707981622315
39,15,0.3547359463403721
42,16,0.1769072528113638
41,16,0.49892149867982716
35,18,0.5423821162795086
4,8,1.6912707634852637
34,2,0.056874276807740126
48,3,0.054191274343387955
2,4,2.843853889264478
25,15,0.6614332099773916
4,1,0.46289877957173775
47,8,0.25806120626881235
43,12,0.20535827217862046
18,12,0.9590360633140351
3,14,10.938597335007989
15,19,2.0324936259340403
18,19,0.5184073489229124
3,9,6.4502957068695945
8,18,0.9891837230806777
35,10,0.08035239224175236
50,12,0.5187657361207529
36,19,0.7631103836555119
39,14,0.4579491660695343
29,12,0.7742796113897147
6,6,0.6929999898183568
39,8,0.1303221570828894
23,3,0.1642056210388691
35,7,0.23910866349395793
10,2,0.11790214828768081
23,6,0.11912721226637711
10,1,0.11955645691598077
16,5,0.2689941833247831
16,11,0.7432043023554096
28,2,0.12315818164311125
47,11,0.11572631202819833
45,11,0.08994657235916657
27,9,0.35397023724025667
39,3,0.14360797363747851
28,9,0.23099994411372515
38,6,0.10712630877709688
23,19,1.4135820915452166
14,4,0.4121925831546815
20,2,0.045000804961120924
26,8,0.7132345700634373
16,5,0.5571244707912939
20,4,0.49219004270647554
17,2,0.1902734581000637
8,5,0.9324306286008075
49,8,0.028754134997557246
11,10,1.561189549409976
27,17,0.4781822175008887
21,11,0.5383545614846144
15,7,0.3253468432636133
44,16,0.4110574149301405
38,19,0.43524417894638656
12,16,1.6753145231914903
44,1,0.015115012436242905
12,1,0.04112108865900803
44,9,0.44698232097910306
50,16,0.18974792876845023
32,14,0.39433611066815066
32,18,1.1512676561681916
20,16,1.0372037059224075
22,7,0.5221095239351516
6,2,0.25853552625059195
41,6,0.02468736603328644
23,2,0.05596440918294784
27,4,0.1360519787603602
28,11,0.540500302762003
10,13,1.3641511665636368
20,17,1.1357810049579262
43,13,0.28717205426179504
41,2,0.011679694951068891
30,9,0.4615038536005891
9,9,1.3074045933846499
50,3,0.028895621600357163
17,10,0.9998626327858546
22,1,0.031801929214039015
19,12,1.2185169111084004
3,7,4.064373934554904
10,7,0.8826380711075912
37,17,0.7840300494712129
50,15,0.5316545087427071
33,1,0.03146315191549194
50,9,0.038777651981909814
32,7,0.27394863957490534
24,11,0.5160767546549636
15,4,0.625573082445793
32,17,0.1613993272763654
45,2,0.049325031797678574
3,13,6.037843655830893
42,15,0.375639369314643
5,4,0.49746255195988776
9,4,0.08499629178463808
35,14,0.20657398660127324
36,6,0.09362362683802943
8,3,0.4880757354606033
33,14,0.6071400051260172
27,4,0.1358202059542974
11,17,3.0210130816862106
47,2,0.06245777737045334
23,14,0.4445758072161286
23,5,0.23640210241504026
26,12,0.4729072098778824
21,13,0.6843344879048003
35,2,0.011975015937954556
19,16,0.3823059747938155
36,14,0.3662057672060124
30,9,0.27295789788749136
20,3,0.1799868168549118
19,15,0.7002574591629891
30,19,0.41263654937962174
14,17,1.1378349407316084
6,7,1.698777544118046
16,8,0.24635734306500143
44,2,0.0757604806692114
19,7,0.8009422628271841
32,14,0.663626095666478
16,6,0.4675636842193247
33,13,0.5734828620314492
3,14,8.100872330464892
23,14,0.8748014544636612
17,12,1.1759759228590947
11,19,1.9104884850994184
41,9,0.4832198287892941
45,5,0.05554366428486222
40,10,0.3511516222537941
37,9,0.32515635889431804
22,12,0.17959936498285414
33,5,0.29689919519568564
17,1,0.02636057758699611
35,18,0.8850547965129216
46,5,0.1344201054760965
19,11,0.48977356250894966
47,6,0.048310315271299115
5,1,0.2460557259747358
16,14,0.6689649447122759
13,9,1.2076391883615631
31,3,0.05614821860948148
46,11,0.16852211405812897
12,7,0.38429451772453666
45,16,0.46995165856491283
13,16,1.0795380442226654
23,12,1.2798545053146437
37,14,0.5193556472860585
48,12,0.3195599100886345
32,14,0.41013115447292847
15,15,1.1274314943902528
44,15,0.4548583804557298
48,2,0.013544668823852876
28,12,0.2822464107554219
40,6,0.13708708104315637
35,12,0.08920793846000931
46,13,0.3170440502730845
22,11,0.4679793752870278
9,2,0.17692136271869277
14,1,0.005062083174202607
5,7,1.2112900120017362
27,18,1.195816833040809
5,4,1.2833989306330231
3,12,8.23857075145299
36,13,0.4919748687077138
6,5,1.1581870398223955
10,17,2.441566269905051
38,12,0.310034909051391
19,10,0.6610101446593593
43,13,0.3368098403047694
38,9,0.36234643921816007
28,12,0.5108132507501999
5,6,0.9373776995735543
36,8,0.08633964354042292
27,5,0.3016367414875995
26,8,0.39801278055928613
14,3,0.4508852414518638
27,18,0.451478727013365
23,16,0.9742254466127287
39,3,0.06827450646159952
15,1,0.06217556386469758
32,3,0.11221925199042637
33,7,0.3442012922190228
18,7,0.5297950471691513
30,13,0.6154734756461906
28,18,0.2699587283752294
13,12,1.2069024506266297
8,15,3.416427485667615
10,10,0.8845516892642937
29,15,0.29866307535025083
28,2,0.0795426529882074
47,5,0.17953075758851075
11,9,1.0887925344304028
26,9,0.12952997075019423
45,15,0.3588430765188173
37,9,0.3017801168155181
23,11,0.27616305267100216
12,6,0.4814331077452232
2,14,15.833392574597985
4,13,3.6706050036759112
7,15,3.3550624080032256
27,16,0.6765388723420004
40,9,0.06463445326060938
11,19,1.5074404436596311
37,17,0.7378458091584061
37,1,0.07886302319345376
46,12,0.13625023669988864
42,2,0.17069226188261158
26,4,0.3117030995404648
18,8,0.926785837115764
8,9,1.3210569145802946
15,15,1.0817577837894685
14,2,0.10262996829196552
7,6,0.7353998674812411
32,8,0.254161372246359
9,17,2.8570359873370568
5,6,0.8252345801376693
20,18,1.2488932251283527
19,5,0.24480304167255842
19,7,0.40060012699022085
28,2,0.0399877991931539
17,5,0.13161851135079858
10,2,0.1953500021358266
28,12,0.4574187919907784
4,7,2.697680422586532
25,15,0.621599745043409
44,4,0.06847652298196054
3,13,7.924514356609852
26,19,0.5466195511398948
19,11,0.6171118908826932
36,5,0.08791998316087707
8,10,1.5961371619323446
27,12,0.7517618872588189
43,2,0.07880377953712438
25,3,0.10273557366958924
10,10,1.6733299059136373
9,1,0.22910623862825452
11,14,1.0151577720570835
35,16,0.6807162317207238
36,13,0.6728426385802733
9,15,1.3217346777260006
20,8,0.16474309826683298
32,8,0.3601532117043895
3,4,2.6178796271994513
7,2,0.4703013847440056
31,15,0.5145159668776209
9,14,1.7285261590210723
17,15,1.2159042500432262
41,1,0.00600262942635774
26,19,0.5902446467585314
27,13,0.5142204948739
42,15,0.3042416118391467
28,18,0.9194011884462494
5,2,0.621265879705869
10,1,0.0593268132826463
47,18,0.34569793903198853
9,10,1.315016261923975
40,18,0.31271625716519935
29,4,0.16363484780785598
49,11,0.19823994472939319
30,1,0.007495703117249616
11,12,0.6148244112346606
38,9,0.0508349503094188
33,7,0.1482555140920985
2,16,35.05745692545267
45,8,0.08377183582298557
6,12,2.450142506352665
24,11,0.515958941260017
2,13,13.191116358930278
29,2,0.19162220187559317
32,5,0.1557352266071928
3,4,2.4978190527395867
21,18,1.1654007982553898
41,2,0.11860265360508708
29,3,0.06571201281855134
16,13,1.087529444925273
3,19,7.83815375172852
29,16,0.9019987297559027
45,16,0.2618612316968791
13,4,0.5426478553564666
17,11,0.8510399504446126
45,2,0.05776492501948404
36,7,0.2009375514371064
2,6,4.3533576407657675
25,6,0.30398197123415893
7,9,2.253328618770814
26,17,0.6152093972042287
2,4,6.055281786917149
38,11,0.32560736398682
17,2,0.1934863073249899
33,11,0.1303156828714425
32,16,0.7321934545611297
34,4,0.16606918918835095
11,9,1.1433265269022512
11,10,1.4562400149931531
23,3,0.1344554472453609
13,3,0.19040516380755063
47,6,0.11226272619396437
39,1,0.008314613353962738
10,6,1.0387106611257444
47,9,0.19793395371055666
41,2,0.04496800023639836
2,14,14.327423254054024
15,5,0.32119307569824446
39,14,0.5235371233231572
42,10,0.2746234411482247
38,9,0.1859264173873276
19,5,0.48802905739694363
15,13,1.0982039996006199
20,14,0.8981822831991915
46,19,0.7412753929647526
49,14,0.07566736906641933
47,14,0.5263162306256146
46,1,0.009170208793165836
42,3,0.044932168599897224
14,14,1.2230445595557593
17,12,0.6436664006193977
29,7,0.36487137397672553
47,14,0.12470685158040244
8,18,3.683333056469667
30,7,0.24742348818797844
46,10,0.2713001176122347
11,11,0.6956814897561938
38,1,0.00655036257250236
12,6,0.41604842022032523
30,15,1.2861593442955206
39,8,0.16629196060916399
50,18,0.20321584220789032
19,17,0.8076236950121225
50,11,0.14342301461982734
40,19,0.5110844988849772
23,2,0.10997802891123132
30,14,0.16788369335906328
49,4,0.052208629890643385
18,3,0.18139347689321944
38,2,0.08098231067518173
25,10,0.49931724110945336
49,7,0.11013191438157138
12,3,0.4778603729703475
32,10,0.3152820565193011
5,6,2.319028414208251
27,2,0.12709019956255463
25,6,0.16265549672070057
40,14,0.3972680243364044
30,5,0.3132640152157218
42,5,0.15622679608055545
44,18,0.36505400262862076
17,17,1.4863843491914572
16,10,0.536122710827784
20,4,0.24979438665529277
49,9,0.16766053440002615
18,13,0.3594670999087284
37,11,0.32631441433911057
38,15,0.6176638785926408
47,15,0.3862882587432575
17,4,0.2614140124583235
26,11,0.6130372823135399
28,10,0.5182566732369311
6,11,2.2088128523663446
13,18,2.3008816473018796
8,18,3.3961328509998143
36,14,0.30216932699047483
37,2,0.051602925679607954
37,15,0.22731029137789702
16,17,1.361695497861673
7,7,2.1248846413335842
20,14,0.9043968332081733
37,3,0.016719767514104523
10,9,1.1705307297480854
8,1,0.16735422093388963
32,3,0.07554510417120688
