N,n,MI
5,16,3.811192465
44,4,0.054811134
44,16,0.120141755
38,20,0.545179277
36,15,0.274427826
37,3,0.038872199
17,17,2.157827125
25,12,0.411121373
50,1,0.140079737
30,7,0.477880144
40,5,0.052217715
14,5,0.426613637
5,5,1.170902044
24,5,0.417372312
45,13,0.164743084
17,4,0.316350902
10,14,2.923462427
25,5,0.11544436
22,1,0.083149592
30,15,1.206282862
15,6,0.477685726
29,7,0.488775774
27,11,0.345166926
46,20,0.986829405
34,7,0.559692444
24,9,0.542253357
38,17,0.93739647
12,14,2.650502559
45,8,0.129616334
49,20,0.778487616
15,8,0.341050363
2,2,1.704536231
19,19,0.222489684
44,6,0.025440823
41,6,0.276574648
26,7,0.660192203
16,1,0.213536587
18,2,0.215748288
28,12,1.536419184
24,5,0.467492756
13,2,0.168759365
26,8,0.831179095
37,14,0.866542126
42,6,0.065816268
19,12,1.717431661
20,5,0.459773058
21,20,1.792516006
24,17,1.955896878
35,14,0.252679675
32,14,0.149771491
49,15,0.952809975
27,4,0.135000004
23,8,0.328700034
12,17,1.050749878
36,12,0.457757709
31,14,0.333550986
30,5,0.242070473
3,18,9.293163048
21,17,0.158069736
4,17,8.879964331
40,12,0.383843754
46,18,0.183396168
6,17,6.136369317
17,2,0.028305501
24,18,1.040465016
19,20,0.632493672
39,16,0.286687115
19,20,2.52497394
44,16,0.747939934
15,18,0.579478376
37,11,0.83893673
37,2,0.077938187
12,13,1.167872786
11,19,1.611910098
6,4,0.443636773
47,14,0.320954357
22,17,1.673463523
42,16,0.504943951
32,9,0.659792931
37,5,0.348266341
27,11,1.216213159
28,3,0.612436061
20,14,2.346165559
47,1,0.008180553
17,10,0.567639302
40,5,0.126846568
12,9,2.58013371
25,9,0.700847807
47,8,0.446754486
41,16,0.180260121
5,2,1.096573384
42,12,0.234015315
27,10,0.12891541
45,13,0.164626983
40,8,0.421388782
33,19,0.37852541
2,16,56.34251464
32,1,0.087605185
43,11,0.080127831
24,11,0.21951994
19,20,1.423742226
50,5,0.371235961
30,6,0.057009391
25,5,0.35396701
16,18,1.734532158
39,5,0.36162334
17,11,1.706968738
19,15,0.75332283
16,16,1.265488752
24,7,0.460864145
9,4,0.241721621
27,20,2.390109058
27,3,0.229589524
21,7,0.113933805
49,20,0.509281733
41,12,0.324439396
37,12,0.058500083
7,4,0.560360705
46,2,0.069210791
30,9,0.903166752
7,10,0.941465134
33,8,0.536481074
12,4,0.948879756
12,12,1.653253437
42,18,0.63716819
44,13,0.216834961
50,16,1.152924668
47,7,0.372670678
2,1,0.695741892
30,4,0.258285211
41,3,0.192997661
6,2,0.639447368
41,9,0.52667221
2,12,17.74353993
39,13,0.978929424
23,13,0.791130104
30,1,0.031421752
20,16,0.894934423
21,5,0.597001941
31,9,1.121764363
50,6,0.095357069
42,8,0.170621309
46,4,0.161730668
33,7,0.115072759
11,7,0.167003977
9,18,4.540401563
22,16,1.895938629
7,13,5.643252696
38,10,0.604723736
25,20,0.722509211
48,7,0.055103524
47,2,0.056968733
19,19,0.766263047
6,15,1.105865407
34,5,0.092728247
6,1,0.214314583
34,18,0.88516153
8,16,4.801519638
15,15,1.562852262
44,9,0.591541518
41,5,0.218684657
47,3,0.012034882
11,9,0.163967094
10,20,1.516394695
3,20,2.84304945
38,18,0.255015508
11,16,4.331846426
23,14,3.020780262
18,11,3.20633939
28,7,0.179533654
6,6,0.613053377
32,13,0.892611291
15,7,0.776506166
22,18,0.64891082
17,15,1.919572833
32,16,0.731112593
26,13,0.471133071
18,12,0.441308575
20,3,0.09535348
17,3,0.087547181
48,19,0.082334612
32,14,0.905878037
19,10,0.608127263
35,10,1.260222058
43,20,0.467316326
25,6,0.11685421
38,17,0.528247617
33,8,0.395669868
26,11,0.773749345
45,13,0.454484278
16,5,0.114765036
48,16,2.05175086
49,15,0.324072249
12,9,0.519853857
32,5,0.174697528
17,13,2.323125815
2,8,8.613003366
19,18,1.733620883
29,5,0.085405142
33,8,0.722578821
40,4,0.155907425
41,19,0.78514048
31,4,0.052661722
14,19,1.064379122
12,11,3.385196132
39,9,0.133267405
40,8,0.328873485
34,18,0.168023282
22,11,0.491815338
36,12,1.026284745
14,15,1.300731879
7,8,2.814041926
38,16,0.374894928
42,16,0.565194882
26,17,0.461251292
15,11,0.597015736
5,11,3.403345521
42,16,0.403915638
48,2,0.039114351
24,2,0.028489196
4,2,0.767701648
48,7,0.063073221
15,1,0.111784353
41,2,0.221894525
11,9,1.07155019
36,6,0.531056001
31,12,0.338307895
12,19,3.940821034
33,14,0.274613254
41,13,0.087068452
43,12,0.499483063
36,9,0.105940516
17,17,0.250521701
38,5,0.10885707
21,10,0.95194011
30,4,0.019214066
24,6,0.477064014
20,15,1.895717565
3,14,9.024775785
26,15,0.231301551
32,19,0.479895574
11,14,2.673074747
43,1,0.10269991
33,19,0.414489269
45,9,0.428270993
27,12,0.235705136
36,17,0.630439948
35,16,0.470836649
27,12,1.436532228
21,14,1.610626809
50,20,0.234927016
17,17,0.953936177
35,8,0.20076794
14,16,0.481111923
37,8,0.286212238
29,16,0.363364771
44,19,0.259339813
5,17,1.895395788
35,9,0.080469191
4,7,0.343022945
9,3,0.825657347
21,6,0.672043945
3,3,1.355628952
50,5,0.266032102
13,17,0.475687045
19,6,0.295046391
40,6,0.110301537
50,18,1.050385664
26,16,0.495753808
12,1,0.033969129
22,14,1.578988635
44,18,0.312939753
42,9,0.06294369
38,6,0.469176408
37,12,0.182678528
38,16,0.372947753
25,4,0.164698005
35,1,0.107635258
23,5,0.122948399
9,20,1.417977556
25,18,0.466102205
45,13,0.149266996
37,15,0.877713176
47,17,0.261210625
48,19,0.203912746
9,7,1.330987093
17,10,1.086673033
7,11,3.038944482
17,13,2.033050394
5,20,3.645396216
24,20,1.179042523
46,1,0.041077278
18,17,1.438133977
35,19,0.550222973
29,5,0.104297668
22,8,0.25435868
26,6,0.612150457
48,12,0.320882437
35,10,0.162424103
34,13,0.901979562
15,2,0.055616156
39,14,0.529214738
49,6,0.043020159
22,18,1.387489996
33,15,0.225077227
9,11,0.575953699
26,14,0.902717089
30,17,0.308901751
36,17,0.575183835
10,17,2.529023209
31,12,0.81328626
21,2,0.034769757
14,14,0.25313716
13,4,0.289734566
46,17,0.100122704
13,12,1.678377198
46,4,0.348351105
2,16,31.98532114
46,2,0.04443338
29,5,0.061719456
50,17,0.245555264
31,7,0.041678444
47,2,0.034011328
9,3,0.306635976
25,10,0.217415893
28,9,0.199404242
17,4,0.045933813
15,13,2.25210094
39,11,0.176750298
32,6,0.421158434
38,9,0.194920118
50,10,0.266441047
13,4,0.447793747
18,12,1.598915431
9,1,0.144220041
8,13,3.719072718
12,16,4.04659637
49,17,0.353702418
18,15,1.37015723
48,3,0.155229541
42,11,0.438804561
21,3,0.3475003
16,9,1.143831212
18,10,1.884329857
24,7,0.093277307
23,13,0.48700998
5,7,2.278984043
20,12,1.524617735
3,14,3.290993094
47,3,0.078029548
7,15,4.465001442
25,4,0.041486495
10,17,2.711381803
18,8,0.134621603
48,16,0.4265815
45,18,0.413701114
27,13,0.685500301
5,6,1.898714511
13,15,1.849119088
29,12,0.319735049
26,15,1.530314454
33,3,0.055991415
24,7,0.099549612
28,13,0.464996457
21,10,0.420181409
19,17,1.790492811
34,14,0.480327833
50,6,0.413291757
33,13,0.521413864
46,8,0.474730371
42,15,0.114729342
30,4,0.151773328
15,1,0.119032283
8,15,0.745818429
9,20,3.179126427
50,17,0.091769852
7,14,3.440799068
45,3,0.19824075
19,20,2.737749274
18,7,0.778098551
16,20,0.978930061
39,9,0.124923551
4,19,10.22764807
42,9,0.742251733
21,11,1.732440137
36,2,0.016112112
5,12,5.23329531
15,20,2.163948294
15,6,0.425959859
40,1,0.013936415
14,9,1.355792899
9,5,0.197783064
35,1,0.029569866
3,8,6.047366129
34,15,1.280432409
33,1,0.03825615
13,3,0.610475842
33,17,0.988032588
29,13,0.698391324
2,20,36.59792162
10,1,0.03358148
28,19,0.560455678
47,17,0.722125818
12,11,2.331767725
32,6,0.165932836
27,16,1.429349754
24,5,0.243445519
33,5,0.130211827
28,5,0.491701199
5,7,0.976240334
39,20,0.359824227
7,6,0.051103059
12,20,3.817327264
22,4,0.717696712
31,19,1.509637438
5,11,4.43507983
28,16,0.655152725
47,2,0.226539392
42,12,0.380187612
32,6,0.303701017
9,1,0.076597328
26,2,0.123283536
43,18,1.598874394
8,5,0.715610155
9,12,1.697125055
9,8,2.209961643
28,15,1.190683617
23,8,0.138882573
45,18,0.679061194
39,8,0.483519843
2,13,16.86689618
12,18,1.391514704
4,19,2.556248763
32,11,0.882587042
13,18,0.808529157
16,7,1.026439512
2,2,2.48650918
39,6,0.04424863
38,18,0.63835943
39,1,0.024377185
33,18,0.752403045
26,4,0.047558735
4,9,3.654406093
20,17,0.767212565
22,16,0.726734864
17,18,0.391436527
28,3,0.024699358
27,19,1.398867955
15,18,1.259113584
34,1,0.008442383
48,14,0.120692791
33,12,0.482655097
28,5,0.456654162
50,7,0.143368172
39,10,0.6246863
28,5,0.143281535
48,15,0.62529982
12,20,3.906340762
13,3,0.068498107
9,1,0.595817074
34,18,0.441374899
14,14,1.654508067
17,7,0.915793143
7,6,2.562303008
17,2,0.08985549
25,14,1.730839314
33,7,0.171720243
20,11,0.558926199
4,10,5.572293172
36,10,0.604766703
36,4,0.03534861
9,16,0.542888778
15,7,0.411651001
29,5,0.28307815
46,18,0.737590291
8,19,2.148886702
48,11,0.138081686
43,7,0.118879619
40,10,0.5368905
25,10,0.276933857
39,3,0.054547726
44,12,0.76731539
42,8,0.406408355
13,10,0.451429891
31,9,0.473625562
48,11,0.106058851
21,14,0.68230657
16,14,4.177714006
26,20,1.89022732
41,12,0.163736822
31,8,0.366054814
35,6,0.16166218
16,12,0.60413645
37,13,0.541007536
36,8,0.073078455
5,9,3.311769389
7,11,2.297013378
35,8,0.117233672
35,4,0.25283095
24,4,0.116874766
16,15,0.198903766
18,9,0.234923395
33,11,0.69447005
47,7,0.216391194
29,4,0.163196275
11,2,0.023960252
21,1,0.018302978
34,15,0.142957199
13,9,0.87651961
10,16,2.97932277
20,11,0.540369788
42,3,0.223713925
42,11,0.366411172
19,4,0.10410818
11,10,1.091061684
30,11,0.201607177
7,14,1.224139707
35,16,0.29407668
17,11,0.849351001
22,11,0.869944136
39,5,0.152353711
11,19,2.584173306
38,17,1.026342314
37,1,0.003701561
36,9,0.127715645
13,18,1.927555112
29,20,0.4442205
38,2,0.017719646
26,7,0.440721499
23,14,1.230429085
48,7,0.056143716
3,6,2.305190213
3,7,2.338552286
5,4,0.338800819
14,12,2.6700825
48,17,0.149659055
23,16,1.698345814
26,20,2.744833181
38,3,0.066643717
25,13,0.963740508
46,17,0.173441612
34,9,0.175670071
50,10,0.237888137
44,4,0.034941132
11,7,1.016411245
25,19,2.111194205
2,6,1.537580088
8,6,0.403282939
23,7,0.28855929
14,3,0.575735175
30,8,0.434822501
19,8,0.195946239
4,16,2.769054326
14,3,0.405134417
44,3,0.239728641
47,6,0.203170175
29,14,0.582669388
39,9,0.369341788
9,9,0.919194397
20,5,0.116907056
30,6,0.063932739
28,11,0.768967585
6,9,1.88914767
27,3,0.166594912
11,10,1.345390755
7,14,2.176303782
10,3,0.445788621
21,13,1.677583853
38,13,0.145444179
9,20,0.954938761
41,17,0.747649375
15,19,0.573532366
16,4,0.095833122
48,15,0.257783563
42,5,0.090969003
48,16,0.812306892
21,1,0.066049189
19,1,0.061049667
4,13,5.705141018
29,6,0.261517555
6,13,1.434020427
27,2,0.04072156
39,1,0.010594343
33,5,0.12067258
18,4,0.30144176
42,17,1.103624066
23,12,0.92460372
10,11,2.260289516
39,17,0.968830173
8,9,0.495355681
14,9,0.42902213
45,4,0.082006684
38,6,0.159170025
23,16,0.238471317
17,7,0.652236639
36,14,0.178928172
34,8,0.464241286
9,3,0.066865601
46,13,0.705715251
41,16,0.231786964
34,8,0.176844968
17,7,0.416042942
5,6,1.555576069
50,2,0.061115011
34,19,1.801140763
34,16,0.821174067
33,8,0.372666334
8,6,2.480408108
7,19,2.820111061
50,2,0.039397914
35,1,0.009076474
4,19,10.60788868
44,4,0.02397349
14,14,1.809016171
48,10,0.218698026
50,10,0.273587289
44,15,1.207312529
39,3,0.158443406
11,8,1.557075155
13,8,0.915096351
31,12,0.998888848
18,4,0.304500828
3,9,4.178445873
17,12,1.021712333
14,4,0.692869821
16,5,0.440462151
17,6,0.298457821
16,3,0.237427692
34,11,0.969707946
38,9,0.120069683
2,20,84.99980851
46,18,0.444027186
29,19,0.488398187
36,12,0.317983971
21,20,1.153190544
16,5,0.385561317
31,14,0.250495325
14,6,0.195213966
16,6,0.318256831
35,1,0.098777917
49,4,0.034056451
3,4,2.779256866
36,2,0.205961567
45,4,0.102484374
42,6,0.082425993
24,1,0.013364898
33,15,0.410165853
15,4,0.177175942
9,20,2.719508578
48,17,0.497821299
2,20,57.38070785
34,12,0.128792581
2,11,18.01863753
5,8,1.570663463
19,10,0.181327366
14,8,0.11780107
14,9,0.691629396
13,9,0.427715753
40,11,0.195495406
26,15,0.194019796
13,16,1.170249422
7,7,1.210125828
27,14,0.68075513
7,6,0.30738411
10,15,2.679897234
35,5,0.053096107
10,4,0.270690838
25,15,0.362519738
27,17,0.120039948
19,14,0.517224734
13,1,0.041977935
18,11,0.548728265
2,11,6.898222428
45,9,0.058917437
19,3,0.283909908
17,7,0.101000889
26,4,0.402712889
49,18,0.323554211
15,6,0.254811835
4,19,8.01945877
11,5,0.744836897
4,3,0.662519704
18,15,1.878377831
19,13,0.375435341
23,10,0.802596646
10,15,1.230901732
34,10,0.254225307
9,6,1.258612329
45,15,0.568027384
17,3,0.169440339
40,18,0.240461284
10,10,0.587675221
38,10,0.244030519
22,8,0.120683412
2,2,1.409538262
49,13,0.783281542
44,7,0.58667613
48,19,0.957758911
40,12,0.383671572
15,3,0.19853894
11,17,2.541662037
9,10,3.077068466
21,18,0.7267774
4,10,1.331522344
9,15,0.783463401
14,13,0.495742159
10,1,0.075418433
32,12,0.652486214
39,15,0.071018775
5,2,1.08439265
42,11,0.134647363
19,13,0.961049359
20,8,0.563731792
34,4,0.14113262
48,11,0.42719949
30,4,0.037009237
28,10,0.690363184
48,9,0.086484432
50,3,0.049268599
11,6,0.284029351
38,14,0.72197322
33,13,0.569164672
44,6,0.247861622
34,7,0.096469294
39,2,0.033094657
39,20,0.636080183
46,18,0.490911456
25,14,1.463584462
3,1,0.136869097
43,19,0.916665522
29,5,0.094648917
3,13,9.77589912
31,19,0.354403154
22,10,1.73363991
20,1,0.030572914
25,15,0.125627455
37,20,1.582734272
46,2,0.126325565
12,1,0.113446035
10,17,2.54114473
49,15,0.351647935
45,4,0.041559716
25,10,0.169686489
43,9,0.178804494
46,20,0.017489208
17,11,0.540534381
21,2,0.092068938
4,17,6.503003297
20,10,0.078145218
17,19,0.23012474
46,2,0.026509941
49,5,0.12042694
19,13,1.623788142
34,15,0.395274301
48,20,0.583704588
43,2,0.029187539
48,12,0.205744796
8,13,3.006136188
6,6,1.185454617
46,5,0.033245468
30,6,0.27319725
30,7,0.064155574
33,12,0.128345897
18,19,3.152650041
4,5,2.236282921
46,7,0.228661381
17,18,2.799243146
23,15,0.433975878
49,6,0.139229312
40,17,0.151116423
33,20,0.251740018
41,8,0.403069913
29,12,0.118315857
11,9,0.411332438
32,13,1.376574724
14,14,3.452375134
50,12,0.170463741
44,16,0.693577088
25,17,0.637346444
30,7,0.144032064
41,11,0.129769292
10,7,0.54493068
13,7,0.84411452
43,7,0.111874718
14,14,1.706563535
29,2,0.067207995
13,7,1.323069205
10,5,0.290871065
28,13,1.4010566
14,10,0.482959358
6,11,2.541819467
47,12,0.102136747
40,12,0.718882843
30,11,0.562983204
44,1,0.012006152
5,10,1.340942858
17,7,0.388943774
41,15,0.565642379
20,3,0.02432186
11,6,1.568368169
40,2,0.048033417
30,7,0.264309739
35,11,0.542516817
37,6,0.453569785
20,11,1.277119746
45,7,0.351429188
47,11,0.4888817
32,9,0.316878335
45,6,0.329410553
50,17,0.27168442
7,13,1.829147039
44,18,0.660827029
13,11,2.248368099
12,1,0.349355689
24,17,0.536862242
31,13,0.129307705
29,2,0.099757716
34,20,0.647765842
33,10,0.354310827
23,2,0.055476256
40,11,0.158513977
40,10,0.161049925
32,12,1.059792195
31,13,0.096974131
9,3,0.158379236
36,13,0.432567253
25,19,0.572394645
42,13,0.278112871
45,9,0.051669001
47,18,0.513988598
2,12,12.12942126
29,15,1.358246246
15,9,0.928176596
12,1,0.057268093
18,16,2.136122848
36,14,0.48947607
12,2,0.163445387
19,13,2.687424334
38,15,0.2832242
40,12,0.682413639
41,1,0.026530696
5,11,3.883105276
41,14,0.471134884
39,2,0.1294733
37,6,0.252213252
25,9,0.104447329
43,5,0.221597739
10,3,0.364463436
35,20,1.466019189
16,14,0.295641115
42,7,0.144586865
46,3,0.021920644
50,8,0.231148599
43,14,0.329088039
7,5,0.280501292
50,20,1.337888454
32,1,0.067749231
30,19,0.642184395
35,12,0.548331364
27,9,0.36140347
27,1,0.001902281
25,14,0.423235063
25,10,0.57623315
14,17,2.813013737
46,19,0.641689254
39,2,0.077333465
5,20,10.437799
33,19,0.228666238
19,3,0.030821858
35,14,0.515007115
29,15,1.01587723
45,12,0.598095657
34,7,0.109878848
45,9,0.088657032
23,1,0.005853632
4,10,7.368170099
19,8,0.497197693
7,15,4.214525478
9,17,1.587721772
11,14,1.496817375
34,7,0.372711938
36,9,0.573803112
3,4,1.505615393
41,4,0.046542512
38,6,0.025812207
9,14,0.663645317
43,4,0.018212261
39,17,0.093801664
31,16,1.236869653
11,4,1.663771915
24,7,0.433429859
19,11,1.366223167
16,7,0.40670603
17,2,0.198217173
42,17,0.281225791
44,14,0.337974245
32,8,0.221213472
42,8,0.150138584
6,11,1.068981718
5,2,0.29293018
11,6,0.804845339
7,8,1.039122848
22,8,0.837621055
22,19,1.944659458
21,19,1.607063795
8,10,1.293359647
43,9,0.072437239
26,7,0.206879211
27,11,0.536931936
19,17,1.415409458
40,18,0.50157957
48,17,0.872161018
43,5,0.089731662
47,7,0.072626303
33,7,0.103626169
44,9,0.511790287
43,17,1.18147411
28,11,0.688051232
5,7,0.336720453
27,16,0.463348459
37,15,0.759736861
23,5,0.272157563
31,3,0.037481259
40,5,0.059786995
31,3,0.051049623
27,9,0.61555971
38,7,0.278019308
27,2,0.119392576
48,10,0.887801796
19,13,0.113908587
21,12,1.184863639
44,17,1.50687155
50,14,0.542924394
16,7,1.333665762
34,18,0.114162198
12,2,0.081504048
18,4,0.045421623
23,1,0.042737278
24,5,0.228595581
12,8,0.978064739
36,15,0.18692571
39,2,0.049933161
14,18,0.330556233
45,7,0.609617385
26,12,0.376652079
22,4,0.410234418
14,5,0.946565811
27,6,0.909735194
17,10,1.616661042
41,10,0.418355158
21,10,0.328642417
14,18,1.362362613
26,9,0.982746209
17,18,2.818739381
29,18,0.799973443
27,20,1.607547973
3,5,6.148455681
50,16,1.300906307
29,17,1.379730167
18,18,1.847736163
46,8,0.225437415
48,5,0.099433978
48,19,0.439233521
46,20,0.678060433
34,12,0.290533186
48,5,0.052171551
45,10,0.215256258
43,4,0.147200896
5,12,0.706926431
24,15,0.622519817
28,2,0.020715311
22,3,0.064897343
45,14,0.701219341
6,2,0.228725702
21,14,0.662976527
37,9,0.295586495
41,16,0.519561088
30,3,0.254282289
24,18,0.92816419
33,10,0.802526394
31,6,0.10884661
38,16,1.307267282
43,4,0.059229487
22,1,0.110756013
49,20,0.253204525
38,19,0.461151603
17,7,0.749951947
13,14,0.824124569
27,19,2.174176119
23,20,0.341218141
2,17,23.78727268
36,15,0.398533312
14,3,0.225453417
4,12,6.927199753
23,1,0.022816906
4,4,0.486517265
17,12,0.38106183
42,17,0.639764049
2,3,1.504112654
13,15,0.851442985
7,7,2.969184882
35,18,0.906423643
39,2,0.062006923
50,19,0.626984984
32,9,0.107737509
32,4,0.113702463
17,3,0.020199465
23,15,0.59245821
4,9,3.569025874
25,20,1.19976904
8,6,0.433639974
23,12,0.301285138
25,10,0.352783274
49,12,0.166231354
26,1,0.182574476
35,19,0.616686558
22,16,2.345596021
37,1,0.014454402
32,5,0.020024868
41,7,0.479970282
49,10,0.49077452
18,3,0.053239665
48,9,0.208651574
9,15,2.336497709
49,9,0.26547773
19,7,0.229955905
50,14,0.386988516
29,6,0.720051575
19,4,0.295331047
43,10,0.374168611
43,14,0.212926715
27,11,0.3625746
28,8,0.679525514
13,20,0.919267457
6,12,3.047500656
28,13,0.317251763
47,8,0.403874787
45,6,0.406630985
6,3,0.414231456
4,6,1.761696046
33,5,0.450187689
2,6,4.283798276
42,1,0.028222522
11,15,1.740603024
43,15,0.462959232
9,15,7.197771299
40,5,0.400605394
42,11,0.573323164
49,13,0.414340365
20,4,0.474463367
4,7,1.321559815
28,20,0.371102086
21,1,0.025085566
21,15,0.549412067
20,12,1.16322172
28,3,0.195997017
4,6,2.327673872
21,2,0.131633108
20,7,0.389454328
34,2,0.01464396
15,9,0.201352905
15,19,0.940457665
18,9,0.727357853
15,12,1.268818317
30,7,0.038141617
31,14,1.117945541
34,19,0.304311226
44,3,0.083312775
16,9,0.355216036
10,20,1.500011788
31,6,0.518578318
30,18,1.215223102
30,5,0.176397316
33,9,0.699995597
28,13,0.290777772
36,6,0.24979678
46,15,0.546725215
4,8,1.760251632
32,14,0.271991326
25,5,0.030909729
42,1,0.009426177
27,17,1.463579715
38,2,0.071290866
39,14,0.091095091
49,19,1.048557291
22,9,0.433653265
26,6,0.54773012
25,16,1.683812027
5,10,2.815333186
29,8,0.137422556
15,10,0.302314372
36,18,0.871406347
17,16,0.25058122
33,9,0.327665661
22,1,0.015192597
19,8,0.173358604
21,10,0.750379667
47,14,0.613586255
26,17,0.885998698
8,20,4.657154382
10,12,0.351295965
20,8,0.349082519
36,1,0.019369041
3,9,3.083454925
25,2,0.321643235
32,5,0.217543886
3,16,7.449752247
32,7,0.270912357
41,17,0.339349805
9,14,0.919737327
37,18,1.344920088
41,14,0.429759769
33,11,0.727011587
35,16,0.868217558
43,4,0.135755408
16,13,0.360747069
6,12,4.075620113
28,17,3.112173716
49,15,0.166738823
29,18,1.090047635
25,16,2.200447017
2,5,4.261823168
28,12,0.129269048
49,13,0.077269359
25,18,1.161329296
11,10,0.737537857
25,8,0.153163389
9,17,1.011312709
15,8,1.753291735
48,18,0.726923008
29,5,0.301183103
46,5,0.031370993
15,15,1.391182094
40,16,0.236937561
33,1,0.074598833
50,12,0.064602846
35,17,1.044764432
34,1,0.02526781
31,9,0.158515224
44,19,0.939759096
13,16,1.791955265
6,3,1.151040906
47,17,0.499682356
8,20,1.350203767
12,19,1.731976857
17,7,0.935952551
12,8,0.811483215
19,20,0.809524415
30,15,1.353035389
38,1,0.046195081
7,3,0.654290888
44,3,0.15210577
47,5,0.048164701
48,7,0.035921644
15,12,1.312277721
23,9,0.135870295
15,10,2.073030316
23,7,0.418273916
18,17,1.533631254
49,2,0.065984308
26,20,1.042379159
6,9,0.378560284
45,14,0.133418618
41,18,1.015893687
48,20,0.088420121
22,17,1.349400108
35,5,0.212457422
3,16,5.527303634
24,9,0.732059687
8,11,1.744096589
42,13,0.403079862
8,7,0.364599003
14,4,0.23183447
7,13,2.578757185
49,19,0.19647627
49,20,0.665279038
50,14,0.228632933
8,13,2.556047086
47,6,0.359591198
49,15,0.676960537
28,6,0.638296088
24,9,0.722165452
50,14,0.847992462
33,11,0.167975344
25,10,0.416512183
49,19,0.371263995
50,4,0.142706591
32,9,0.412742231
40,8,0.619694135
35,2,0.046659648
44,12,0.226406978
43,12,0.400154441
3,17,9.772159875
32,4,0.214670579
29,19,2.173332839
6,18,1.959117196
20,8,0.583797539
11,9,2.135845535
